title,sell_price,market_price,count,good_url
春夏新款条纹雪纺裙子女气质带长裙连衣裙子,89,799,1.7折,https://a.vpimg4.com/upload/merchandise/pdcvis/2019/06/06/175/71b26ae5-caa3-4ec8-9ef8-9727c86ea7c7_420_531.jpg
2019夏新款女装蕾丝排扣修身淑女风荷叶袖连衣裙女,206,688,4.9折,https://a.vpimg3.com/upload/merchandise/pdcvop/00103437/10001351/915335082-361772092205064192-361772092205064194-50_5t.jpg
【2019夏季新款】韩版圆领短袖星空印花荷叶边下摆套头连衣裙,165,438,5折,https://a.vpimg4.com/upload/merchandise/pdcvis/110057/2019/0321/189/bc7b9933-c3cd-426e-a7da-d9c585bdf131_420_531.jpg
V领短袖收腰系带连衣裙,448,898,5折,https://a.vpimg4.com/upload/merchandise/pdcvis/2019/03/29/157/780df938-7bc8-4d9c-891c-2cf2a03bb3ac_5t.jpg
【2019夏装新款】衣香丽影印花雪纺连衣裙,269,1099,3.1折,https://a.vpimg3.com/upload/merchandise/pdcvis/2019/05/20/51/3d267f5a-f3d7-4977-8202-66d48d44166b_420_531.jpg
2019夏季新款纯色韩版花边大摆A字裙收腰气质吊带连衣裙,79,699,1.4折,https://a.vpimg4.com/upload/merchandise/pdcvis/2019/06/06/49/8083b04f-1290-49d7-abac-d4dbcdfc8fdc_420_531.jpg
2019夏季新款纯色通勤插肩袖A字裙开叉连衣裙,79,799,1.5折,https://a.vpimg4.com/upload/merchandise/pdcvis/2019/06/12/71/80517eee-0b86-4533-9cc9-a0adcdf9e1a9_420_531.jpg
欧洲站气质连衣裙新款吊带裙子两件套,343,1299,3.3折,https://a.vpimg2.com/upload/merchandise/pdcvis/2019/03/08/139/c3a9d564-1f78-465d-8b7c-c268466de333_420_531.jpg
2019夏季新款韩版女款甜美仙女裙碎花雪纺短袖长裙连衣裙,166,1118,2折,https://a.vpimg3.com/upload/merchandise/pdcvis/2019/04/22/162/8c6a4318-4ee1-446c-b0ed-ec057d876ba9_420_531.jpg
2019夏新款女装蕾丝淑短袖松紧腰修身系带连衣裙女,339,698,4.9折,https://a.vpimg2.com/upload/merchandise/pdcvop/00103437/10001351/1717167114-218501329059340290-218501329059340292-50_5t.jpg
2019夏季新款韩版女款文艺风短袖收腰纯色中长款连衣裙,126,718,2.6折,https://a.vpimg2.com/upload/merchandise/pdcvis/2019/04/22/21/24a34c33-a414-4c1a-988d-b70137f8b7ac_420_531.jpg
2019夏季新款韩版方领蝴蝶结吊带大摆连衣裙,94,599,2.2折,https://a.vpimg4.com/upload/merchandise/pdcvis/2019/06/12/165/86f31e59-ac8d-46cb-8817-c439445dcee9_420_531.jpg
2019夏季新品时尚短袖V领中长款印花雪纺连衣裙,159,669,2.4折,https://a.vpimg2.com/upload/merchandise/pdcvis/614728/2019/0610/6/c6bb0d8b-348d-4469-b750-9da22ef4ce78_420_531.jpg
女款圆领5分袖复古印花100%真丝连衣裙,539,2780,3.1折,https://a.vpimg3.com/upload/merchandise/pdcvis/2018/05/31/45/6789788b-48cb-47f0-ae2c-c8cedd86179c_420_531.jpg
大码女装2019夏装新款花边娃娃领连衣裙宽松减龄裙子,158,563,2.8折,https://a.vpimg4.com/upload/merchandise/pdcvis/614000/2019/0523/147/cf2854c8-2862-4286-b242-b429033f441a_420_531.jpg
短袖直筒Polo休闲蜜蜂绣花翻领连衣裙,127,439,3.8折,https://a.vpimg4.com/upload/merchandise/pdcvop/00104832/10000683/2131217476-600462858249117696-600462858249117698-50_5t.jpg
短袖直筒Polo休闲蜜蜂绣花翻领连衣裙,127,499,3.4折,https://a.vpimg3.com/upload/merchandise/pdcvis/104832/2019/0514/150/8211f0da-90a9-4f25-b0dd-7a66871124ba_420_531.jpg
米思阳夏季复古百搭小黑裙不对称收腰显瘦短袖连衣裙,243,1198,2.8折,https://a.vpimg4.com/upload/merchandise/pdcvop/00606846/10029006/661370038-530938540782600220-530938540782600285-50_420_531.jpg
明星同款2019夏新品纯色圆领短袖睫毛蕾丝修身连衣裙女,236,928,3.8折,https://a.vpimg4.com/upload/merchandise/pdcvop/00103437/10001351/860719026-1456146794191536128-1456146794191536130-50_420_531.jpg
2019夏季女式新品莫代尔打底吊带中长款宽松连衣裙,49,168,2.9折,https://a.vpimg3.com/upload/merchandise/pdcvis/2019/06/05/20/5ef1bf23-3257-47a2-9a58-cd8881b3f43b_420_531.jpg
雪纺连衣裙女2019夏季新款圆领贴花边修身A字中长款裙子,299,1089,2.7折,https://a.vpimg2.com/upload/merchandise/pdcvis/2019/05/31/125/206b058c-dab3-48b0-9098-df08c1f80156_420_531.jpg
2019夏季新款 假两件袖网纱蛋糕裙蓬蓬裙小仙女短连衣裙,190,669,4折,https://a.vpimg3.com/upload/merchandise/pdcvop/00104832/10000683/709725784-747674282327203840-747674282327207936-50_420_531.jpg
